name,category,latitude,longitude,rating,reviewCount,address,description,website,phone,googleMapsUrl,mainImageURL,galleryImage1,galleryImage2,galleryImage3,galleryImage4
A Trần - cơm gà xối mỡ,,17.4647366,106.6254922,3.8,147,"9 Lê Trực, Đồng Hải, Đồng Hới, Quảng Bình, Vietnam",,,0941 710 888,https://maps.google.com/?cid=8388974586131364311,https://lh3.googleusercontent.com/place-photos/AJnk2cxrslP_HKoXLAtSernm4TnhlsbL7_lFR-h78gXIo9kPa21dXtqWtewI3y3kekSsWht2pMZawSgESLZGM1Ul0aIPOuKc7Z2_UHjHJqGggS8FeksWMZH109PwfAGvl1gKQySDlev8eg6kL85keVE=s1600-w1200,https://lh3.googleusercontent.com/place-photos/AJnk2cyeNnL4j7AbWJCkgA0Bv5mgef6CWWEqnb78f_3kacdPxW9HedqIlbnJtk7CUtwJF6hfMaRIwPPSOOGdrT_XDEGmWN42jDZfEcotILLQ5WNH6h6h4cnAzRXOYDorNhCevIk0aqRKlb282-Ez6do=s1600-w1200,https://lh3.googleusercontent.com/place-photos/AJnk2cyhd9US8yqN4wvpKWtV_Dp7YdzOyrP4fphSjB-j5NQKl80OA0oNK7ZJMuUITgIG9N-5YNwZVlzxG2oOMJ90goRphYtKsNqhYmTU4DRSt84S3j-Rgq4GU7hbhK4emR3mca2uQvJJeUIiyLta8A=s1600-w1200,https://lh3.googleusercontent.com/place-photos/AJnk2czBzp1l22rkXcJPaiAXHE4EiOd1sKmilB9LnFVGyXA0lt9pTEBllxx1XeZpK3TBoyjkhO05gBDL93otnB23FpzxOogDpodqvw49ug6EPR2xoptWTTT-P-S5Fx5OE00wggbMG6bT_u6WI6KNcuc=s1600-w1200,https://lh3.googleusercontent.com/place-photos/AJnk2cyindsTigwCdz6neePFnKeu7WsS7SayU_TglrxTgQbPOUe3zHHVF6SIhPPZT_jQgLNCmgmCqNxGIRbi7OzNVw1zD4P4bWx8hP1m0gmx8HmUDqHwGm56Gxkv49w2qeAhBzXifWqeBP7tnt7C=s1600-w1200
Amanda Hotel Quảng Bình,,17.4736864,106.6312407,4.2,77,"Trần Hưng Đạo, Bảo Ninh, Đồng Hới, Quảng Bình 510000, Vietnam",,http://amandaquangbinh.com/,0981 707 999,https://maps.google.com/?cid=210086846381177009,https://lh3.googleusercontent.com/places/ANXAkqEGWjUa4SLibJs-KRyvykyUx_uyBUhKfiGGJ8cTOZanobmyz5ES5Ze467A052qtkYRTA8dLXkQi21k7GvopGT6oI-uTzbWxFQ8=s1600-w1200,https://lh3.googleusercontent.com/places/ANXAkqFOis1xV8zVX8-zlb337SJgOahBsMzizABkKpLbB5hjgQAx5klQJqVKfaaS0tzRt0m1a9eHLIbr7QYNNuDXpuo9eqrWwD_Dqww=s1600-w1200,https://lh3.googleusercontent.com/places/ANXAkqG0fbsKHuf1QhJVc6pZXCFEUnEOwj_vwdKFWvuCVV48b7NZbctb3hI3jx5NnqeNOWNVPSt2tVXfsOlpuz2q7IpyHcP1evqJm1o=s1600-w728,https://lh3.googleusercontent.com/places/ANXAkqEbId5II5ae_iFlGN4ROXBIzVpkn4DNMzMhr6FCxVrkNjPSH9fsWXvsF_wr-bt5dTg4vG6mlKZOUBE0D60IMj4TT34wspyC4zw=s1600-w1200,https://lh3.googleusercontent.com/places/ANXAkqFr01tCosx7LZvEy20DNP9O-C0wN9qMYk1zygzG264H5e1zmcEWSDNaeW7hZpLW_FKMFt4SO7XK0FWj005ATm-Q1hS0K28LPrA=s1600-w960
Aumori Hostel,,17.4779357,106.6224516,4.7,18,"Ngõ 34 Lê Quý Đôn, Đồng Hải, Đồng Hới, Quảng Bình, Vietnam",,,0915 780 944,https://maps.google.com/?cid=16527623042085893501,https://lh3.googleusercontent.com/place-photos/AJnk2cxiZePSVneXJEvKW2qp62EOY7vJsZhjsDrHCrSAzE1qvliLQn6T0N2AtmzhiqI9FD5AoDneMZWHct3ofilHP-R0MRfWzA1uaqa_nDObI5YlXSlMdzejdfimm9NsXKj703Md-7JDpiM9qjlfdQ=s1600-w675,,,,
Balanha,,17.4772589,106.6310526,4.9,117,"26 Nguyễn Thị Định, Bảo Ninh, Đồng Hới, Quảng Bình 47121, Vietnam",,,0987 090 209,https://maps.google.com/?cid=7789947056240594759,https://lh3.googleusercontent.com/places/ANXAkqHq5B8cvK2yPm9ouyf0tnumwhXoxXIuL_7Hf3rp4VpMRxjupJGrLTNoMKlZSfibJ_qBl3oOt_AdpMZwnqMmPfNPkcQKiTQbRXs=s1600-w1200,,,,
Bao Ninh beach Resort,,17.4607085,106.6444753,4.3,929,"Đường Võ Nguyên Giáp, Bảo Ninh, Đồng Hới, Quảng Bình, Vietnam",,,0232 3854 688,https://maps.google.com/?cid=7982537253582916317,https://lh3.googleusercontent.com/place-photos/AJnk2cxaO2JLVW7bXTvRHcY60x_gE1kt7xTcoSox5zmzWSLDCV-TOJpBlpSXEbOQLdxhj-vyzc1rBsbW6VBFDwROhYWuJMbIs_bLBGC0fx-pZ7CEq9snuSBY1FW8Ah6ybUn3lwZXDgme6XhqrTIFTw=s1600-w1200,,,,
Bún bò Huế (KINH THÀNH),,17.6110797,106.307289,5,13,"J864+CWM, Phong NHA, Bố Trạch District, Quảng Bình, Vietnam",,,0775 359 035,https://maps.google.com/?cid=13742801014889565900,https://lh3.googleusercontent.com/place-photos/AJnk2cwT34Zsa5joIRa0Z_qpfWqfwZxXc47bGllcnu9q7QrM-BbbMp-mciv6PMHs92q6R93hrac-LX8S9gU7AbJmXBJQwmDdwTH-3Ba9xe-rFzBdE2bOKHMINmff9rce9eoop__Od4V5ZITKp4U6BQ=s1600-w1200,,,,
PHONG NHA FAMILY RESTAURANT (NHÀ HÀNG GIA ĐÌNH VIỆT NAM),,17.6134894,106.3161763,4.8,513,"Thôn 1 Cù Lạc, Phong NHA, Bố Trạch, Quảng Bình 511860, Vietnam",,,0915 380 645,https://maps.google.com/?cid=7256420068837129236,https://lh3.googleusercontent.com/places/ANXAkqFpG2BH09yo2iZhXR2Dw05-gV5sGlvqHO8DI3fB47Gkr-75TN6P2YcIK_zHontt5Am5dKBdu4PAokzoUZ96niyx2RVJ6TVLNg=s1600-w1200,,,,
Chày Lập Farmstay,,17.6034789,106.25479,4.4,696,"Thôn Chày Lập, Bố Trạch, Quảng Trị 510000, Vietnam",,https://chaylapfarmstay.com/,0931 357 677,https://maps.google.com/?cid=3728374068477488020,https://lh3.googleusercontent.com/places/ANXAkqE25rdJAo6lyaFFNaIauSzUe_-BPVNixZ8CrfH2YlciwmWlC2MLX37sROiylBYmTWqYufNmC6l2SWuZ2svhuiXOMQ2DWJEeXiQ=s1600-w1200,,,,
Zipline at Dark Cave,,17.5741854,106.251424,4.4,83,"Phúc Trạch, Sơn Trạch, Bố Trạch, Quảng Bình, Vietnam",,https://phongnhatourism.com.vn/,,https://maps.google.com/?cid=10742947406246163767,https://lh3.googleusercontent.com/place-photos/AJnk2cxbl60FEItwEdxHcKLwtNWREXEVNoyYKAKkOws1d_n3mqV3iwC9KU3VLxYo6itrUGTZFrF-uYuRCVm99x4WBJxPcMVC3J6tSI27Sr1nxrHjy3hDwiMNeEKznPBXgYp4dbaUgy3iBUCEwjWD1w=s1600-w1200,,,,
Dozy Hostel,,17.4780728,106.6218358,3.6,5,"114 Dương Văn An, Đồng Hải, Đồng Hới, Quảng Bình 51000, Vietnam",,,0912 015 007,https://maps.google.com/?cid=13772386023275073711,https://lh3.googleusercontent.com/place-photos/AJnk2cx3iqec0ZrrwgKALc5iPC7HJF7Lxulf7s-tkc2sS1CQx6mNhxV52zFq3XekL5DbZ9M_8TBzTJwAyrPdBA6Ot8H4FVOk3CExOU4wf3AIz9MGh9zAwA5g_szytBp3unHHBzle04nfgM_-6sjDBA=s1600-w960,,,,
