name,description,address,phone,email,website,latitude,longitude,image_url,gallery,tags,rating,review_count,google_maps_url,categories,booking_type,affiliate_link
5 ELEMENTS,"5 Elements is a stylish riverside bar and restaurant in Phong Nha, known for its relaxed vibe and stunning sunset views. The menu blends Vietnamese and international flavors, offering everything from fresh spring rolls to wood‑fired pizzas. Guests can sip on craft cocktails or local beers while enjoying the tranquil river setting. With friendly service and a cozy atmosphere, it’s a perfect spot to unwind after a day exploring caves and countryside.","J9C9+J7Q, Hưng Trạch, Bố Trạch, Quảng Bình",,,,17.6215767,106.3682372,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noaFs11Ap-AzSEpsqYEPunekdbJPCSUct765PnWTSUzDiAm3hgycI5hC9Qg-CoSlD5iJrpLFe3hftH9CJbEYL56LLCMtVzOHItO81_H6qJi27MaGBfwulXjRSPmlFc8MZYfqEZgmQ=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrmkHmAmixDKd4mcH31ubnX17m6j6mBaN1Ccs72rlCBs7CrQh1JY4-6eyysnSPuICKAKaYIGWVCGqjCnSuJFaKsR66LcquJP2pSDyyHTNyXI-aCSnW4rUCp6p_cUVOg5_-kCTWBtw=w1920-h1080-k-no,,5,3,https://maps.app.goo.gl/j2U7r2EuzuPg7M5C7,Accommodation,none,
A Trần - cơm gà xối mỡ,"A Trần – Cơm Gà Xối Mỡ is a popular spot in Đồng Hới, well‑known for its crispy fried chicken served over fragrant rice cooked in rich chicken broth. The chicken skin is golden and crunchy, while the meat stays tender and juicy. The dish is paired with fresh vegetables and a flavorful garlic‑chili sauce that adds a delicious kick. With generous portions, quick service, and affordable prices, it’s a favorite stop for both locals and travelers craving authentic, comforting Vietnamese flavors.","9 Lê Trực, Đồng Hải, Đồng Hới, Quảng Bình, Vietnam",84941710888,,,17.46502314,106.6254493,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr4p57DihqD7yD8hODQ2rb4xzhxWAuN6oIgRAcFbMYe036ixXEjmrqyUaEWTi7EQrABRL-B7G-XD-zYS9DWZODLvyVjKC2u5WyA5mSLD7euIIyvGdtvGkCpfblP4pJdkJ-LC8muSA,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no-1lMBLd83fUtxND6N9bwCZsi8VOFGysknylafYxAdJ3do62LefzGvLI6Srwjxc6WyEkWy4VdffisbqNPpXbrCXFWQvD9dNbtZKCX4r6XrLX8i56-ZlUMeuueqRTv8eR6ekWaS5A,,3.8,148,https://maps.app.goo.gl/Tp6xvYL9Wz7kGTBC6,Food & Drink,none,
Amanda Hotel Quảng Bình,"Amanda Hotel Quảng Bình is a modern 12‑storey hotel located in the Bảo Ninh area of Đồng Hới, just a short walk from Nhật Lệ Beach and close to the city center. The hotel offers spacious, well‑appointed rooms with air‑conditioning, private bathrooms, and large windows or balconies with views of the river, beach, or city. Guests can enjoy on‑site dining with Vietnamese and international cuisine, relax in the garden terrace or café lounge, and make use of the tour desk for organizing local excursions. With its convenient location, comfortable rooms, and friendly service, it’s a great mid‑range choice for travelers exploring Quảng Bình.","Trần Hưng Đạo, Bảo Ninh, Đồng Hới, Quảng Bình 510000, Vietnam",84981707999,,http://amandaquangbinh.com/,17.47394223,106.6312622,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFZ1s3WDSq3zSzYTcvfdSyAM5yeEWEc8_4rx08z2LXnVUrR-W-fUbaXEPIatbGaBxu2qVl0hvheHwYw6XU8HtEDdOxWGPlLsmo7xk30R14NWA5WlYCtZuwq4P6XmWlgz5G4_kEF71IYSR22vk3cAOoiOMvFVzS4VJlU8dyLOr_SWaaYb5CI2Ns,https://lh3.googleusercontent.com/p/AF1QipMYUqUwfO7L1L3khK6PosQIPJMU9i1KmaTpXFDx,,4.1,88,https://maps.app.goo.gl/Y2XyECHX9L8APQkH6,Accommodation,affiliate,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1945129&hl=en-us&hid=2023915
Aumori Hostel,"Aumori Hostel is a charming, family-run guesthouse perfectly situated along the Nhật Lệ River—just a short stroll from Đồng Hới’s walking street and city center. Visitors consistently praise its exceptional cleanliness, comfortable rooms, and welcoming host who often goes above and beyond, like offering early check-in and arranging scooter rentals. Guests appreciate free cold water, helpful local guidance for tours, and trusted transport services to Phong Nha or Hue. With its homely atmosphere and ideal location, it’s a reliable and friendly base for both relaxation and adventure.","Ngõ 34 Lê Quý Đôn, Đồng Hải, Đồng Hới, Quảng Bình, Vietnam",84915780944,,,17.47813787,106.622438,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npzsxMOWEuT7VDyo9IJP9hXw03YFoJ5AWUvukgsP91k0NalW4cNKuTzt-3Q9c1PcL-l-XJKtQ9JKf1EGxcL3fWne01XwoXJGS14gVUGFpAoBwXLXK47-TSngRT0TykzQ9RjwccP,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nomFZGGgznWBs4pwSGrOkG_l3ZnXn45diN6ysc_3dc2o3pp2Twnm8smhbnfB13RaOBr-Ah4H4qVL23KhiS3ClbYmuwehfBoqUPSRjRh35tAfvql-4_RLaPH801d8OO7efUof3-h,,4.7,21,https://maps.app.goo.gl/dk2kErc3C3AsAaDPA,Accommodation,affiliate,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1945129&hl=en-us&hid=58312207
Balanha,"Balanha is a modern beachfront guesthouse in Đồng Hới, conveniently located within an 8-minute walk of Nhật Lệ Beach. The property features comfortable rooms and family suites, many with balconies or garden views, offering air-conditioning and private bathrooms. Guests can relax by the seasonal outdoor pool, enjoy time in the garden or sun terrace, and take advantage of BBQ facilities on-site. With free amenities like fresh linens, toiletries, and utilities included, alongside friendly, helpful staff, it’s a relaxed and budget-friendly option for beachside stays.","26 Nguyễn Thị Định, Bảo Ninh, Đồng Hới, Quảng Bình 47121, Vietnam",84987090209,,,17.4774474,106.6311252,https://lh3.googleusercontent.com/p/AF1QipNGSMVmzXf6q4eSzKS_AMJ0XJlY3yUkgSjGVIgo,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrTMKRJ7eajQ_-Hy-Ufjs1SdJP1pBfjZkIrZBJK2UhJ40le_MZZgcPKBJYV7ldNyptlX7gvLNxgib2Lm86_X3CIbuJ6qLNvN2Wz7oMPQk8Fz-fk7p0-zuznOSsqZw5NcA4hSQfEEw,,4.9,121,https://maps.app.goo.gl/MAJgGc1HfNDhNcd18,Accommodation,none,
Bamboo's House,"Bamboo’s House is a warm, budget‑friendly homestay located in Đồng Hới, just steps from the tranquil Nhật Lệ Beach. Guests enjoy a cozy rooftop terrace with a laid‑back bar vibe, BBQ facilities, and relaxed areas where travelers meet over chilled drinks and local conversation. The attentive, friendly staff—including the welcoming owner—offer personalized service, bike or scooter rentals, and help arranging tours or beach trips. Clean, comfortable rooms, fast Wi‑Fi, and included breakfast with generous portions make it a top pick for a fuss‑free stay while exploring Phong Nha’s caves and countryside.",143 Trương Pháp,+84 933 270 726,,,17.4884458,106.6272126,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/87/08/22/bamboo-s-house.jpg?w=2100&h=1400&s=1,,"budget,",3.9,146,https://maps.app.goo.gl/aNrsjcCQ9J1Fr83c6,Accommodation,affiliate,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1945129&hl=en-us&hid=15313324
Bánh khoái Tứ Quý,"Bánh Khoái Tứ Quý is a local favorite in Đồng Hới, famous for its golden, crispy pancakes stuffed with shrimp, pork, and bean sprouts. Served with fresh herbs, green banana, and starfruit, each bite bursts with flavor. The rich dipping sauce, made from peanuts and liver, is the perfect balance of sweet, savory, and tangy. The relaxed, welcoming atmosphere makes it a must‑try for anyone exploring Quảng Bình’s culinary scene.",17 Cô Tám,+84 232 3821 371,,https://www.foody.vn/quang-binh/banh-khoai-tu-quy,17.464644,106.6268376,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npyVOTw2K7pbN7pizh5WySglRsG-tjCcAi8x67RA4fIARvn0El9yPgLlpCS8EWYEdATCfiBZsHTIGsGZbTQAOYvFI0H4yNn3_WkRa4uaOE2OXHkDRqS_SP14RBfYP5glhlOifLP=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqfaTQ9DQWIw8E5mlkBjx1VxpvLAflL4eJ1plHAcut8RqIm2i9okmClijc9ECd6dcf_hGrdNuhmeRjyCldHDC1eurcgfjKuTxN6UEZbT4MuiHJ0ymkIBC-uf_0TmH3bW8NEhB27=w1920-h1080-k-no,,4,512,https://maps.app.goo.gl/xc2UZWY8e8giuyTx8,Food & Drink,none,
Bao Ninh beach Resort,"Bao Ninh Beach Resort is a relaxing four-star getaway nestled on a private stretch of white‑sand beach in Dong Hoi, just a short drive from Phong Nha‑Kẻ Bàng National Park. Guests can unwind with two outdoor pools (plus a children’s pool), beach volleyball, beachfront loungers and umbrellas, or indulge in spa, sauna, and massage treatments. With three on‑site restaurants, a bar/lounge, tiki‑style pool bar, fitness center, tennis court, and karaoke, the resort suits both families and couples. Attentive staff, free Wi‑Fi and parking, airport shuttle service, and easy access to local tours make it an ideal base for exploring Quảng Bình’s caves and coast.",Đường Võ Nguyên Giáp,+84 232 3854 688,,,17.4607085,106.6444753,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq_Px4CRGJJ0GqTOFUTid49jOs9Cheej957s8aUeQEWeUfRaTIlueFRmhLbaD9sLI3TzJxvlw_xKdej0xbHEUwn7XcxIerGngxmZjM4VMO_jEKAIz8OcMvH_c8k4oQ6HdohaDU=w1920-h1080-k-no,https://cdn.worldota.net/t/1024x768/content/98/ba/98ba2bd808f7f367c01163d106a9ceda39bc8d08.jpeg,,4.3,929,https://maps.app.goo.gl/mEnkggxmCANfJCAF8,Accommodation,affiliate,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1945129&hl=en-us&hid=407883
BEE PUB - PHONG NHA,"Bee Pub is a lively and welcoming bar in the center of Phong Nha, perfect for relaxing after a day of adventure. The pub features great cocktails, cold beers, and a fun selection of games like pool, foosball, and darts. With its neon-lit vibe, good music, and friendly atmosphere, it’s a favorite spot for travelers to meet, mingle, and enjoy a vibrant night out in town.","ĐT20, Phong NHA, Bố Trạch, Quảng Bình",,,https://bee-hive-adventures.lovable.app/,17.6103887,106.3095841,https://lh3.googleusercontent.com/p/AF1QipM4sbnWekRTRRApX0xEHX6EpQ_CAGH7vHhS_b-1=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npZfO__sMwsThBhM1hlePOu6lXK1EyKDLDZupsQrQ7XRUjlDExGib5gD6iOC0Lx4JThM-F1xIf4LBHxL0qHWpFowNQ3_5VVJHofv5drMrUf4K6v2CalHOEdW0LdfR76kwCZoIzYF5GojkcM=w1920-h1080-k-no,"backpackers,",5,324,https://maps.app.goo.gl/vTrkFWqFm7TTYvTX7,Food & Drink,none,
BinBin Homestay Đồng Hới Quảng Bình,"BinBin Homestay is a cozy and well‑rated guesthouse located just over a minute’s walk from Nhật Lệ Beach in Đồng Hới, making it an easy base for both beach days and airport transfers. Each guest room is bright, clean, and air-conditioned, with essentials such as a flat-screen TV, fridge, private bathroom, and free parking. The family‑friendly atmosphere, welcoming hosts, and services like bicycle use or golf‑buggy pick‑up add a lovely local touch. Rated highly for cleanliness, comfort, value, and helpful service, it’s a favorite among travelers exploring Quảng Bình.",240 Nguyễn Hữu Hào,+84 941 375 586,,,17.5068264,106.6148254,https://lh3.googleusercontent.com/p/AF1QipMhvo3wWC00S2HlOkjJieEn9WG2HPNcZZnBa5-5=w1920-h1080-k-no,,,4.4,21,https://maps.app.goo.gl/HNiPhsRfWDiGY4nXA,Accommodation,affiliate,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1945129&hl=en-us&hid=67851517
